timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1732124501101,5638,HomePage,200,OK,Thread Group 1-28,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,5591,0,83
1732124503063,3861,overview,200,OK,Thread Group 1-10,text,true,,84429,134,50,50,https://www.sathyabama.ac.in/campus-life,3842,0,0
1732124503129,3963,360view,200,OK,Thread Group 1-21,text,true,,82592,130,50,50,https://www.sathyabama.ac.in/360view,3922,0,0
1732124503087,4112,overview,200,OK,Thread Group 1-9,text,true,,84435,134,50,50,https://www.sathyabama.ac.in/campus-life,4094,0,0
1732124501202,6199,HomePage,200,OK,Thread Group 1-29,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,6156,0,85
1732124501305,6207,HomePage,200,OK,Thread Group 1-30,text,true,,126653,123,50,50,https://www.sathyabama.ac.in/,6163,0,74
1732124501387,6295,HomePage,200,OK,Thread Group 1-31,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,6258,0,113
1732124501889,5888,HomePage,200,OK,Thread Group 1-36,text,true,,126645,123,50,50,https://www.sathyabama.ac.in/,5838,0,140
1732124501497,6419,HomePage,200,OK,Thread Group 1-32,text,true,,126653,123,50,50,https://www.sathyabama.ac.in/,6360,0,139
1732124501687,6234,HomePage,200,OK,Thread Group 1-34,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,6169,0,150
1732124501990,5940,HomePage,200,OK,Thread Group 1-37,text,true,,126652,123,50,50,https://www.sathyabama.ac.in/,5891,0,105
1732124501789,6428,HomePage,200,OK,Thread Group 1-35,text,true,,126650,123,50,50,https://www.sathyabama.ac.in/,6372,0,107
1732124502090,6204,HomePage,200,OK,Thread Group 1-38,text,true,,126653,123,50,50,https://www.sathyabama.ac.in/,6165,0,78
1732124501587,6721,HomePage,200,OK,Thread Group 1-33,text,true,,126652,123,50,50,https://www.sathyabama.ac.in/,6684,0,144
1732124502193,6192,HomePage,200,OK,Thread Group 1-39,text,true,,126651,123,50,50,https://www.sathyabama.ac.in/,6152,0,80
1732124502292,6459,HomePage,200,OK,Thread Group 1-40,text,true,,126649,123,50,50,https://www.sathyabama.ac.in/,6369,0,76
1732124502478,6834,HomePage,200,OK,Thread Group 1-42,text,true,,126661,123,50,50,https://www.sathyabama.ac.in/,6793,0,81
